date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover
2016-02-22	9.64	9.89	9.88	9.43	418377.12	0.37	3.89	9.668	9.341	9.299	361116.05	303397.86	252702.67	2.1
2016-02-19	9.44	9.77	9.5	9.41	300947.81	-0.01	-0.1	9.524	9.189	9.304	314373.15	280156.78	242439.0	1.51
2016-02-18	9.73	9.99	9.53	9.45	338538.38	-0.17	-1.75	9.47	9.094	9.318	330486.74	268504.74	239246.73	1.7
2016-02-17	9.58	9.77	9.69	9.42	349022.84	-0.04	-0.41	9.454	8.96	9.357	316516.49	250742.42	238219.69	1.76
2016-02-16	9.26	9.85	9.74	9.16	398694.12	0.58	6.33	9.232	8.872	9.361	281800.22	237153.75	231074.15	2.01
2016-02-15	8.81	9.2	9.16	8.8	184662.61	-0.06	-0.65	9.014	8.787	9.389	245679.67	222450.23	224004.8	0.93
2016-02-05	9.68	9.8	9.23	9.18	381515.75	-0.22	-2.33	8.854	8.858	9.432	245940.41	215199.51	230386.97	1.92
2016-02-04	8.58	9.45	9.45	8.57	268687.12	0.86	10.01	8.718	8.915	9.492	206522.74	192387.27	225076.54	1.35
2016-02-03	8.5	8.65	8.58	8.31	175441.48	-0.06	-0.69	8.466	8.932	9.531	184968.35	188077.29	215259.08	0.88
2016-02-02	8.36	8.85	8.65	8.3	218091.41	0.3	3.59	8.512	9.087	9.67	192507.29	193451.17	218804.47	1.1
2016-02-01	8.42	8.46	8.36	8.11	185966.31	-0.19	-2.22	8.56	9.257	9.788	199220.78	202007.47	224424.89	0.94
2016-01-29	8.19	8.72	8.55	8.19	184427.38	0.35	4.27	8.862	9.418	9.947	184458.61	204721.22	227789.56	0.93
2016-01-28	8.62	8.8	8.19	8.18	160915.17	-0.6	-6.83	9.112	9.542	10.161	178251.8	209988.73	231461.3	0.81
2016-01-27	8.89	8.97	8.81	8.2	213136.16	-0.07	-0.79	9.398	9.754	10.414	191186.23	225696.96	234127.73	1.07
2016-01-26	9.73	9.79	8.89	8.88	251658.89	-0.98	-9.93	9.662	9.85	10.634	194395.06	224994.54	234745.8	1.27
2016-01-25	9.94	9.98	9.87	9.75	112155.45	0.08	0.82	9.954	9.99	10.852	204794.17	225559.36	243485.83	0.56
2016-01-22	9.79	9.9	9.8	9.48	153393.34	0.18	1.87	9.974	10.006	11.025	224983.84	245574.42	247660.41	0.77
2016-01-21	9.82	10.27	9.62	9.5	225587.3	-0.5	-4.94	9.972	10.069	11.199	241725.65	257765.8	253915.36	1.13
2016-01-20	10.2	10.31	10.13	10.0	229180.33	-0.21	-2.03	10.11	10.13	11.39	260207.69	242440.87	262498.05	1.15
2016-01-19	9.99	10.44	10.35	9.84	303654.41	0.37	3.71	10.038	10.253	11.576	255594.02	244157.77	277069.52	1.53
2016-01-18	9.59	10.19	9.97	9.38	213103.81	0.17	1.74	10.026	10.318	11.733	246324.56	246842.3	277675.97	1.07
2016-01-15	10.16	10.2	9.79	9.7	237102.42	-0.52	-5.04	10.038	10.475	11.903	266165.01	250857.89	284416.74	1.19
2016-01-14	9.39	10.48	10.31	9.3	317997.5	0.54	5.53	10.166	10.779	12.098	273805.95	252933.87	295147.96	1.6
2016-01-13	10.3	10.36	9.77	9.7	206111.97	-0.51	-4.96	10.15	11.074	12.25	224674.05	242558.5	295503.9	1.04
2016-01-12	10.1	10.48	10.29	9.92	257307.11	0.27	2.69	10.468	11.417	12.431	232721.52	244497.05	302900.9	1.29
2016-01-11	10.0	10.94	10.03	9.8	312306.03	-0.4	-3.83	10.61	11.714	12.582	247360.04	261412.3	307507.96	1.57
2016-01-08	10.5	10.75	10.43	9.57	275307.16	0.2	1.96	10.912	12.044	12.72	235550.78	249746.4	303907.62	1.39
2016-01-07	11.09	11.09	10.23	10.23	72338.0	-1.14	-10.03	11.392	12.328	12.843	232061.78	250064.92	311609.35	0.36
2016-01-06	11.02	11.49	11.36	11.01	246349.3	0.36	3.27	11.998	12.649	12.962	260442.94	282555.22	318667.24	1.24
2016-01-05	10.7	11.4	11.0	10.51	330499.69	-0.54	-4.68	12.366	12.899	13.03	256272.58	309981.26	321128.17	1.66
2016-01-04	12.84	12.87	11.54	11.54	253259.73	-1.28	-9.98	12.818	13.148	13.146	275464.57	308509.63	317721.28	1.27
2015-12-31	13.17	13.24	12.83	12.8	257862.2	-0.42	-3.17	13.176	13.331	13.23	263942.02	317975.59	321458.27	1.3
2015-12-30	13.27	13.37	13.26	13.13	214243.8	0.07	0.53	13.264	13.417	13.267	268068.05	337362.06	326711.45	1.08
2015-12-29	13.11	13.25	13.2	12.9	225497.48	-0.05	-0.38	13.3	13.426	13.263	304667.5	348449.3	330580.48	1.13
2015-12-28	13.37	13.8	13.26	13.22	426459.62	-0.08	-0.6	13.432	13.445	13.266	363689.95	361304.75	334372.24	2.15
2015-12-25	13.3	13.37	13.33	13.1	195647.02	0.07	0.53	13.478	13.45	13.26	341554.7	353603.62	335017.79	0.98
2015-12-24	13.36	13.41	13.27	13.03	278492.34	-0.15	-1.12	13.486	13.395	13.257	372009.15	358068.84	354512.85	1.4
2015-12-23	13.8	13.81	13.44	13.42	397241.03	-0.42	-3.03	13.57	13.358	13.329	406656.06	373153.78	373384.29	2.0
2015-12-22	13.53	13.95	13.86	13.41	520609.72	0.37	2.74	13.552	13.275	13.418	392231.11	354779.26	401367.33	2.62
2015-12-21	13.2	13.53	13.49	13.16	315783.38	0.13	0.97	13.458	13.161	13.451	358919.56	332275.07	394954.25	1.59
2015-12-18	13.6	13.65	13.37	13.28	347919.28	-0.32	-2.34	13.422	13.144	13.496	365652.55	326932.93	402537.03	1.75
2015-12-17	13.42	13.79	13.69	13.39	451726.91	0.34	2.55	13.304	13.129	13.548	344128.53	324940.95	405496.92	2.27
2015-12-16	13.64	13.64	13.35	13.26	325116.25	-0.04	-0.3	13.146	13.117	13.592	339651.49	316060.84	403411.22	1.64
2015-12-15	13.32	13.56	13.39	13.15	354051.97	0.09	0.68	12.998	13.099	13.638	317327.41	312711.67	413787.82	1.78
2015-12-14	12.6	13.37	13.31	12.6	349448.34	0.52	4.07	12.864	13.087	13.714	305630.58	307439.72	440218.8	1.76
2015-12-11	12.82	13.05	12.78	12.6	240299.19	-0.13	-1.01	12.866	13.07	13.799	288213.32	316431.96	449014.0	1.21
2015-12-10	12.6	13.39	12.9	12.55	429341.69	0.3	2.38	12.954	13.119	13.888	305753.36	350956.86	471108.61	2.16
2015-12-09	12.66	12.9	12.61	12.5	213495.88	-0.11	-0.86	13.088	13.299	14.008	292470.19	373614.81	488995.21	1.07
2015-12-08	13.2	13.25	12.72	12.66	295567.81	-0.59	-4.43	13.2	13.56	14.166	308095.92	447955.39	535407.9	1.49
2015-12-07	13.28	13.5	13.32	13.12	262362.03	0.1	0.76	13.31	13.741	14.335	309248.86	457633.44	607381.75	1.32
